rank,category,match_score,skills_found,missing_skills
1,CONSULTANT,0.3033759489656558,"['data analysis', 'machine learning', 'python', 'sql', 'visualization']","['cloud', 'deep learning', 'keras', 'nlp', 'numpy', 'pandas', 'scikit', 'statistics', 'tensorflow']"
2,ENGINEERING,0.28614641923169115,"['data analysis', 'machine learning', 'pandas', 'python', 'sql', 'statistics', 'visualization']","['cloud', 'deep learning', 'keras', 'nlp', 'numpy', 'scikit', 'tensorflow']"
3,AUTOMOBILE,0.23500833336898116,"['data analysis', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'visualization']","['cloud', 'deep learning', 'keras', 'machine learning', 'nlp', 'tensorflow']"
4,AGRICULTURE,0.21133142860466836,"['keras', 'pandas', 'python', 'scikit', 'sql', 'tensorflow', 'visualization']","['cloud', 'data analysis', 'deep learning', 'machine learning', 'nlp', 'numpy', 'statistics']"
5,AGRICULTURE,0.19392678785791131,"['cloud', 'pandas', 'python', 'sql']","['data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'scikit', 'statistics', 'tensorflow', 'visualization']"
6,BANKING,0.19072878364872572,"['machine learning', 'python', 'sql']","['cloud', 'data analysis', 'deep learning', 'keras', 'nlp', 'numpy', 'pandas', 'scikit', 'statistics', 'tensorflow', 'visualization']"
7,CONSULTANT,0.17360115785155697,"['sql', 'visualization']","['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'statistics', 'tensorflow']"
8,SALES,0.16973891819106665,"['data analysis', 'machine learning', 'statistics', 'visualization']","['cloud', 'deep learning', 'keras', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'tensorflow']"
9,DIGITAL-MEDIA,0.16828700780224665,"['python', 'sql', 'visualization']","['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'scikit', 'statistics', 'tensorflow']"
10,INFORMATION-TECHNOLOGY,0.16662018435645545,"['cloud', 'data analysis', 'python', 'sql']","['deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'scikit', 'statistics', 'tensorflow', 'visualization']"
11,ARTS,0.16515240274305187,[],"['cloud', 'data analysis', 'deep learning', 'keras', 'machine learning', 'nlp', 'numpy', 'pandas', 'python', 'scikit', 'sql', 'statistics', 'tensorflow', 'visualization']"
